status_id,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,final_time,new_reaction_count,positive_reactions,negative_reactions,interest
1,3,529,512,262,432,92,3,1,1,0,0.9755489229013455,97,527,2,1.4631379962192816
2,1,150,0,0,150,0,0,0,0,0,0.9754755841448042,0,150,0,0.0
3,3,227,236,57,204,21,1,1,0,0,0.9741030557493564,23,226,1,1.2907488986784141
4,1,111,0,0,111,0,0,0,0,0,0.9740811827868792,0,111,0,0.0
5,1,213,0,0,204,9,0,0,0,0,0.9740458000534601,9,213,0,0.0
6,1,217,6,0,211,5,1,0,0,0,0.9737234955181335,6,217,0,0.027649769585253458
7,3,503,614,72,418,70,10,2,0,3,0.9736434018761212,85,498,5,1.363817097415507
8,3,295,453,53,260,32,1,1,0,1,0.9708899818936904,35,293,2,1.7152542372881356
9,1,203,1,0,198,5,0,0,0,0,0.9703521643457201,5,203,0,0.0049261083743842365
10,1,170,9,1,167,3,0,0,0,0,0.9699098801779816,3,170,0,0.058823529411764705
11,1,210,2,3,202,7,1,0,0,0,0.9695058736945782,8,210,0,0.023809523809523808
12,1,222,4,0,213,5,4,0,0,0,0.9694521562720237,9,222,0,0.018018018018018018
13,1,313,4,2,305,6,2,0,0,0,0.9681976775417106,8,313,0,0.019169329073482427
14,1,209,4,0,200,8,1,0,0,0,0.9662654586358155,9,209,0,0.019138755980861243
15,1,346,11,0,335,10,1,0,0,0,0.9654008332955382,11,346,0,0.031791907514450865
16,3,332,100,30,303,23,1,5,0,0,0.9635480647092295,29,327,5,0.39156626506024095
17,3,135,256,79,117,18,0,0,0,0,0.9621330770336789,18,135,0,2.4814814814814814
18,3,150,173,47,132,16,1,0,1,0,0.9615592334298638,18,149,1,1.4666666666666666
19,3,221,166,36,192,28,0,1,0,0,0.9612359639108986,29,220,1,0.9140271493212669
20,1,152,2,0,149,3,0,0,0,0,0.9612185942054019,3,152,0,0.013157894736842105
21,1,234,15,1,221,12,1,0,0,0,0.9606421773118837,13,234,0,0.06837606837606838
22,1,227,7,1,217,7,2,1,0,0,0.9606338141203482,10,226,1,0.03524229074889868
23,1,98,0,0,96,0,2,0,0,0,0.9606103328518065,2,98,0,0.0
24,3,18,0,0,18,0,0,0,0,0,0.9605778450693035,0,18,0,0.0
25,1,102,0,0,100,0,2,0,0,0,0.9593725805045642,2,102,0,0.0
26,3,37,0,1,37,0,0,0,0,0,0.9593661472803062,0,37,0,0.02702702702702703
27,3,75,36,14,70,5,0,0,0,0,0.957012873846724,5,75,0,0.6666666666666666
28,3,90,78,9,85,5,0,0,0,0,0.9556599667852631,5,90,0,0.9666666666666667
29,1,145,9,0,138,7,0,0,0,0,0.955624584051844,7,145,0,0.06206896551724138
30,3,253,300,31,229,22,1,1,0,0,0.9548381223863016,24,252,1,1.308300395256917
31,1,85,0,0,81,2,2,0,0,0,0.954703989660522,4,85,0,0.0
32,3,45,14,0,40,5,0,0,0,0,0.9546760051349996,5,45,0,0.3111111111111111
33,1,92,0,0,85,4,2,1,0,0,0.9538223162759609,7,91,1,0.0
34,1,125,1,0,116,8,1,0,0,0,0.953711664818723,9,125,0,0.008
35,1,119,4,0,116,3,0,0,0,0,0.9524594377169002,3,119,0,0.03361344537815126
36,1,293,8,0,281,11,1,0,0,0,0.9515021739473074,12,293,0,0.027303754266211604
37,3,128,137,26,110,16,2,0,0,0,0.9513747961069987,18,128,0,1.2734375
38,1,84,15,13,78,5,1,0,0,0,0.950585761151753,6,84,0,0.3333333333333333
39,1,66,11,6,61,4,1,0,0,0,0.9501492668858467,5,66,0,0.25757575757575757
40,3,171,292,28,150,19,1,1,0,0,0.9481054315390749,21,170,1,1.871345029239766
41,3,90,72,23,79,10,1,0,0,0,0.9471764739562174,11,90,0,1.0555555555555556
42,3,139,39,9,121,16,1,1,0,0,0.9468496661639102,18,138,1,0.34532374100719426
43,3,236,181,21,201,33,0,1,0,1,0.9466807940271372,35,234,2,0.8559322033898306
44,3,225,210,34,193,30,0,2,0,0,0.9463285749990109,32,223,2,1.0844444444444445
45,1,275,12,0,260,11,4,0,0,0,0.9453931841918953,15,275,0,0.04363636363636364
46,3,372,456,37,334,31,1,1,1,4,0.9450187705400789,38,366,6,1.325268817204301
47,1,445,9,0,419,23,3,0,0,0,0.944418229055593,26,445,0,0.020224719101123594
48,3,128,60,11,114,13,0,0,0,1,0.9439974961891188,14,127,1,0.5546875
49,3,186,235,46,163,19,0,3,0,1,0.943581588240838,23,182,4,1.510752688172043
50,3,309,444,36,254,42,2,8,3,0,0.9431566737785961,55,298,11,1.5533980582524272
51,1,77,11,3,75,2,0,0,0,0,0.9425757536280972,2,77,0,0.18181818181818182
52,3,119,72,28,103,16,0,0,0,0,0.9422560223824739,16,119,0,0.8403361344537815
53,1,100,21,13,95,5,0,0,0,0,0.9417802854485936,5,100,0,0.34
54,3,240,255,111,193,44,1,1,0,1,0.9413206315753583,47,238,2,1.525
55,3,164,136,48,146,15,2,0,1,0,0.9408683759100198,18,163,1,1.1219512195121952
56,3,202,327,42,171,30,1,0,0,0,0.9402909940328629,31,202,0,1.8267326732673268
57,3,211,284,46,186,25,0,0,0,0,0.939927195201072,25,211,0,1.5639810426540284
58,3,148,114,16,136,10,0,2,0,0,0.9394800861151399,12,146,2,0.8783783783783784
59,3,97,81,16,84,13,0,0,0,0,0.9394363401901854,13,97,0,1.0
60,3,279,292,34,254,20,3,1,1,0,0.939414788888921,25,277,2,1.168458781362007
61,1,263,8,0,245,14,4,0,0,0,0.9371338892282415,18,263,0,0.030418250950570342
62,3,177,193,34,151,25,1,0,0,0,0.9370872483523709,26,177,0,1.2824858757062148
63,1,517,32,1,484,26,7,0,0,0,0.9363081848947251,33,517,0,0.06382978723404255
64,3,289,258,33,256,33,0,0,0,0,0.9363078632335122,33,289,0,1.0069204152249136
65,1,66,13,0,65,1,0,0,0,0,0.9362258396242225,1,66,0,0.19696969696969696
66,1,112,6,0,104,8,0,0,0,0,0.935760395849155,8,112,0,0.05357142857142857
67,3,206,259,48,181,22,1,2,0,0,0.9348417314251104,25,204,2,1.4902912621359223
68,3,362,468,86,305,56,0,0,1,0,0.9343891540985589,57,361,1,1.5303867403314917
69,3,184,130,51,161,23,0,0,0,0,0.9343820775518751,23,184,0,0.9836956521739131
70,3,216,251,34,199,16,0,0,0,1,0.9339172770992334,17,215,1,1.3194444444444444
71,3,57,0,0,56,1,0,0,0,0,0.933724280371493,1,57,0,0.0
72,3,272,258,43,226,44,1,1,0,0,0.9334534416302305,46,271,1,1.1066176470588236
73,3,248,247,34,208,33,3,2,0,2,0.9329928227733565,40,244,4,1.1330645161290323
74,3,132,89,40,110,20,1,0,0,1,0.9329896061612275,22,131,1,0.9772727272727273
75,3,226,341,41,196,30,0,0,0,0,0.9325225540800955,30,226,0,1.6902654867256637
76,3,35,1,0,35,0,0,0,0,0,0.93244985864598,0,35,0,0.02857142857142857
77,3,219,316,36,170,46,3,0,0,0,0.93207062007597,49,219,0,1.6073059360730593
78,3,94,1,1,94,0,0,0,0,0,0.9318605753039457,0,94,0,0.02127659574468085
79,3,259,368,50,234,25,0,0,0,0,0.931853177096049,25,259,0,1.613899613899614
80,3,62,1,0,62,0,0,0,0,0,0.931441450743536,0,62,0,0.016129032258064516
81,3,127,76,21,114,13,0,0,0,0,0.9302143132163194,13,127,0,0.7637795275590551
82,3,149,63,15,134,15,0,0,0,0,0.9292837473273974,15,149,0,0.5234899328859061
83,3,134,171,41,116,18,0,0,0,0,0.9288179818911171,18,134,0,1.5820895522388059
84,3,392,461,47,360,32,0,0,0,0,0.9253852134270397,32,392,0,1.2959183673469388
85,3,310,540,41,284,26,0,0,0,0,0.921820563865673,26,310,0,1.8741935483870968
86,1,14,3,0,12,2,0,0,0,0,0.9209729865696794,2,14,0,0.21428571428571427
87,1,293,6,1,275,15,3,0,0,0,0.9195403075274192,18,293,0,0.023890784982935155
88,1,236,12,0,226,8,1,1,0,0,0.9147391922636618,10,235,1,0.05084745762711865
89,1,312,10,0,291,18,3,0,0,0,0.9134104097931687,21,312,0,0.03205128205128205
90,1,24,12,0,24,0,0,0,0,0,0.9130257029825393,0,24,0,0.5
91,0,16,9,0,15,1,0,0,0,0,0.9119976737461083,1,16,0,0.5625
92,1,33,12,0,32,1,0,0,0,0,0.9116705442925882,1,33,0,0.36363636363636365
93,1,675,10,0,645,29,1,0,0,0,0.9110761143711475,30,675,0,0.014814814814814815
94,1,737,18,0,697,31,9,0,0,0,0.9063779306955184,40,737,0,0.024423337856173677
95,1,572,16,0,554,16,2,0,0,0,0.905516843628583,18,572,0,0.027972027972027972
96,1,23,7,0,20,3,0,0,0,0,0.9054927190376154,3,23,0,0.30434782608695654
97,1,266,25,0,250,11,5,0,0,0,0.9045309520110419,16,266,0,0.09398496240601503
98,3,378,512,30,348,27,2,0,0,1,0.9041227639318709,30,377,1,1.433862433862434
99,3,421,709,30,373,45,2,0,1,0,0.9031700034192587,48,420,1,1.7553444180522566
100,3,1493,1979,753,1333,139,9,3,8,1,0.8999376298908185,160,1481,12,1.8298727394507703
101,1,76,17,0,76,0,0,0,0,0,0.8970973613809045,0,76,0,0.2236842105263158
102,1,36,11,0,34,2,0,0,0,0,0.8957541041558307,2,36,0,0.3055555555555556
103,1,19,8,0,18,0,0,1,0,0,0.8936748860756399,1,18,1,0.42105263157894735
104,1,27,10,0,27,0,0,0,0,0,0.8936719911247238,0,27,0,0.37037037037037035
105,1,117,2,53,108,9,0,0,0,0,0.893418522088958,9,117,0,0.4700854700854701
106,1,146,1,0,145,1,0,0,0,0,0.8934133755095516,1,146,0,0.00684931506849315
107,1,166,0,13,151,7,0,0,8,0,0.892591852771803,15,158,8,0.0783132530120482
108,1,190,0,31,171,0,0,0,19,0,0.8925419952838033,19,171,19,0.1631578947368421
109,1,217,16,0,213,4,0,0,0,0,0.8921276956415871,4,217,0,0.07373271889400922
110,1,458,14,0,451,3,4,0,0,0,0.8921183674664129,7,458,0,0.03056768558951965
111,1,553,15,0,538,12,3,0,0,0,0.8916021012197072,15,553,0,0.027124773960216998
112,1,203,18,11,190,7,6,0,0,0,0.8915844098529976,13,203,0,0.14285714285714285
113,1,1005,25,1,979,16,9,1,0,0,0.891190696528407,26,1004,1,0.025870646766169153
114,3,202,145,23,182,19,0,0,0,1,0.8907911933019842,20,201,1,0.8316831683168316
115,1,428,14,0,419,4,5,0,0,0,0.8907275043818299,9,428,0,0.03271028037383177
116,1,479,17,0,462,10,7,0,0,0,0.8902530540928012,17,479,0,0.03549060542797495
117,3,212,116,11,201,10,1,0,0,0,0.8899149881580425,11,212,0,0.5990566037735849
118,3,225,157,17,211,14,0,0,0,0,0.8897863236728821,14,225,0,0.7733333333333333
119,3,171,46,5,156,12,2,1,0,0,0.8893823171894787,15,170,1,0.2982456140350877
120,3,247,120,16,232,14,1,0,0,0,0.8893240965099437,15,247,0,0.5506072874493927
121,3,269,453,39,242,26,1,0,0,0,0.8893083351105115,27,269,0,1.828996282527881
122,3,258,486,32,235,23,0,0,0,0,0.8892504360921893,23,258,0,2.007751937984496
123,1,109,2,1,104,5,0,0,0,0,0.8889384247156756,5,109,0,0.027522935779816515
124,1,97,5,0,96,0,1,0,0,0,0.8889152651083467,1,97,0,0.05154639175257732
125,3,280,199,25,254,24,2,0,0,0,0.8887907822189541,26,280,0,0.8
126,3,325,77,21,293,30,1,1,0,0,0.8883948172658732,32,324,1,0.30153846153846153
127,1,51,11,0,51,0,0,0,0,0,0.8880892391136175,0,51,0,0.21568627450980393
128,3,280,825,47,243,35,1,1,0,0,0.8879534980817734,37,279,1,3.1142857142857143
129,3,688,0,0,632,34,0,0,22,0,0.8873770811882551,56,666,22,0.0
130,3,365,805,46,320,39,1,3,0,2,0.8869261121677682,45,360,5,2.3315068493150686
131,1,295,5,0,295,0,0,0,0,0,0.8843344877754264,0,295,0,0.01694915254237288
132,1,27,14,0,26,1,0,0,0,0,0.8837024234920764,1,27,0,0.5185185185185185
133,1,15,11,0,15,0,0,0,0,0,0.8819307135314187,0,15,0,0.7333333333333333
134,1,16,12,0,16,0,0,0,0,0,0.8818837509943352,0,16,0,0.75
135,1,29,12,0,29,0,0,0,0,0,0.8809239139350392,0,29,0,0.41379310344827586
136,3,28,6,0,28,0,0,0,0,0,0.8804771265103201,0,28,0,0.21428571428571427
137,1,8,8,0,8,0,0,0,0,0,0.8799840198709431,0,8,0,1.0
138,1,10,9,0,10,0,0,0,0,0,0.8795250093201337,0,10,0,0.9
139,1,39,8,0,39,0,0,0,0,0,0.8786584540125789,0,39,0,0.20512820512820512
140,1,49,11,0,47,2,0,0,0,0,0.8786565240453015,2,49,0,0.22448979591836735
141,3,226,449,37,189,25,1,1,10,0,0.878233217889124,37,215,11,2.150442477876106
142,3,104,49,13,91,12,0,0,1,0,0.8781602007937955,13,103,1,0.5961538461538461
143,1,251,17,0,244,7,0,0,0,0,0.8778639508167139,7,251,0,0.06772908366533864
144,3,244,589,48,213,29,1,1,0,0,0.8773923954786014,31,243,1,2.610655737704918
145,3,252,558,41,204,45,1,1,0,1,0.8772663042831442,48,250,2,2.376984126984127
146,3,121,15,4,114,4,2,1,0,0,0.8772392847412606,7,120,1,0.15702479338842976
147,1,321,5,0,307,11,2,1,0,0,0.8772254533091058,14,320,1,0.01557632398753894
148,1,103,8,3,99,4,0,0,0,0,0.8771810640617255,4,103,0,0.10679611650485436
149,3,136,31,16,122,14,0,0,0,0,0.8769565445351207,14,136,0,0.34558823529411764
150,3,337,247,27,300,35,1,1,0,0,0.876773840966193,37,336,1,0.8130563798219584
151,1,648,13,0,627,18,3,0,0,0,0.8764521797532923,21,648,0,0.020061728395061727
152,3,175,157,14,157,18,0,0,0,0,0.8764344883865828,18,175,0,0.9771428571428571
153,3,339,424,36,296,38,1,4,0,0,0.8763174037050868,43,335,4,1.3569321533923304
154,1,341,3,0,331,8,2,0,0,0,0.8735987231336493,10,341,0,0.008797653958944282
155,3,177,131,27,150,27,0,0,0,0,0.8734977215127984,27,177,0,0.8926553672316384
156,1,201,0,0,195,4,2,0,0,0,0.8727193013775785,6,201,0,0.0
157,1,43,7,0,41,2,0,0,0,0,0.8711875506817448,2,43,0,0.16279069767441862
158,1,40,7,0,39,1,0,0,0,0,0.8708301850742121,1,40,0,0.175
159,1,58,14,0,57,1,0,0,0,0,0.8707854741656188,1,58,0,0.2413793103448276
160,3,403,525,42,363,36,1,3,0,0,0.8707314350818515,40,400,3,1.4069478908188586
161,1,148,4,3,144,4,0,0,0,0,0.8704287518805118,4,148,0,0.0472972972972973
162,1,150,24,2,144,6,0,0,0,0,0.8704059139343959,6,150,0,0.17333333333333334
163,1,53,12,0,53,0,0,0,0,0,0.8703563781076092,0,53,0,0.22641509433962265
164,2,144,15,8,140,4,0,0,0,0,0.8703222820190417,4,144,0,0.1597222222222222
165,3,298,491,46,262,34,2,0,0,0,0.8690025060625097,36,298,0,1.8020134228187918
166,1,171,4,1,166,5,0,0,0,0,0.8676743669144423,5,171,0,0.029239766081871343
167,1,4410,633,257,4315,73,17,5,0,0,0.8672073148333104,95,4405,5,0.2018140589569161
168,3,374,588,46,327,47,0,0,0,0,0.8658396113560561,47,374,0,1.695187165775401
169,1,181,20,0,180,1,0,0,0,0,0.8657456862818891,1,181,0,0.11049723756906077
170,1,267,20,1,249,8,10,0,0,0,0.8648714111052247,18,267,0,0.07865168539325842
171,1,60,7,0,59,1,0,0,0,0,0.8647726611128642,1,60,0,0.11666666666666667
172,1,98,23,5,95,2,1,0,0,0,0.8643059306929451,3,98,0,0.2857142857142857
173,3,26,7,0,26,0,0,0,0,0,0.8639189722538254,0,26,0,0.2692307692307692
174,1,255,18,0,244,11,0,0,0,0,0.8635471318917121,11,255,0,0.07058823529411765
175,1,174,6,1,167,5,2,0,0,0,0.8635384470389638,7,174,0,0.040229885057471264
176,1,64,5,1,59,5,0,0,0,0,0.8633673232737006,5,64,0,0.09375
177,1,62,3,0,58,4,0,0,0,0,0.8633380521033266,4,62,0,0.04838709677419355
178,3,192,417,40,168,22,1,1,0,0,0.8633377304421137,24,191,1,2.3802083333333335
179,1,110,18,6,110,0,0,0,0,0,0.8624991596600813,0,110,0,0.21818181818181817
180,1,119,12,7,117,2,0,0,0,0,0.8623939764434627,2,119,0,0.15966386554621848
181,1,42,11,0,41,0,1,0,0,0,0.8617059431090679,1,42,0,0.2619047619047619
182,3,234,355,34,178,52,2,0,1,1,0.8617052997866421,56,232,2,1.6623931623931625
183,1,54,10,0,53,1,0,0,0,0,0.8616483657519587,1,54,0,0.18518518518518517
184,1,82,8,0,80,1,0,0,1,0,0.8602851655316851,2,81,1,0.0975609756097561
185,1,18,8,0,18,0,0,0,0,0,0.8602764806789368,0,18,0,0.4444444444444444
186,1,147,17,7,141,5,1,0,0,0,0.8597779057989405,6,147,0,0.16326530612244897
187,1,80,8,0,79,1,0,0,0,0,0.8587547014807031,1,80,0,0.1
188,3,299,564,42,262,34,1,1,0,1,0.8586392251052717,37,297,2,2.0267558528428093
189,1,629,11,1,607,18,4,0,0,0,0.8582487283928101,22,629,0,0.019077901430842606
190,1,69,2,0,67,2,0,0,0,0,0.8582332886545908,2,69,0,0.028985507246376812
191,3,219,110,17,190,26,1,2,0,0,0.8579560166890704,29,217,2,0.5799086757990868
192,1,30,2,0,27,3,0,0,0,0,0.8578357153954455,3,30,0,0.06666666666666667
193,1,65,1,0,62,2,1,0,0,0,0.8578038709353683,3,65,0,0.015384615384615385
194,1,161,7,0,153,8,0,0,0,0,0.8574146608677583,8,161,0,0.043478260869565216
195,3,398,605,30,348,44,3,3,0,0,0.857347433674262,50,395,3,1.5954773869346734
196,1,47,7,0,47,0,0,0,0,0,0.857282779770469,0,47,0,0.14893617021276595
197,1,182,3,4,177,5,0,0,0,0,0.8569511470599682,5,182,0,0.038461538461538464
198,3,317,158,32,269,47,1,0,0,0,0.8565667619105518,48,317,0,0.5993690851735016
199,3,571,888,107,459,107,1,1,1,2,0.8559459557696533,112,567,4,1.7425569176882663
200,1,16,10,0,15,1,0,0,0,0,0.8559356626108404,1,16,0,0.625
201,1,30,9,0,30,0,0,0,0,0,0.8554943434267406,0,30,0,0.3
202,1,57,7,0,57,0,0,0,0,0,0.8546277881191858,0,57,0,0.12280701754385964
203,1,74,6,3,74,0,0,0,0,0,0.8546216765561406,0,74,0,0.12162162162162163
204,3,368,911,50,317,50,1,0,0,0,0.8545016969237287,51,368,0,2.6114130434782608
205,1,19,3,0,19,0,0,0,0,0,0.8541877555799374,0,19,0,0.15789473684210525
206,1,176,3,0,175,0,1,0,0,0,0.8541272832719121,1,176,0,0.017045454545454544
207,1,133,7,0,133,0,0,0,0,0,0.854062629368119,0,133,0,0.05263157894736842
