状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<A>,<M>,<N>,<Program>,<S>,<if语句>,<relop>,<return语句>,<while语句>,<内部变量声明>,<内部声明>,<内部数组声明>,<函数声明>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参列表>,<形参>,<数组>,<表达式>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<项>,
0, , , , , , , , , , , , , , , , , , , ,r2, ,r2, , ,r2, , , , , , ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2, , , , , , , , , , , , , , , , , , , ,s7, ,s5, , ,s6, , , , , , , , , , , , , , , , , , , , , , ,4,3, , , , , , , , , , , ,
3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
4, , , , , , , , , , , , , , , , , , , ,s7, ,s5, , ,s6, , , ,r3, , , , , , , , , , , , , , , , , , ,4,8, , , , , , , , , , , ,
5, , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
6, , , , , , , , , , , , , , , ,s10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
7, , , , , , , , , , , , , , , ,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9, ,r8, , , , , , ,r8, , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10, ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11, ,r8, , , , , , ,r8, , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
12, ,r9, , , , , , ,r9, , , , , , , , , , , , , , , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
